x,y,Truth,CPU,GPU
-0.408596,-1.79695,0,0,0
-0.152818,0.687951,0,0,0
-2.21758,1.06682,2,2,2
1.81802,1.22096,1,1,1
-1.23064,-1.36199,0,0,0
1.17345,0.907218,1,1,1
-1.83137,-0.42269,0,2,2
-2.09932,0.778976,0,2,2
2.95446,0.63937,1,1,1
-1.22013,0.0925961,0,2,2
-2.01245,1.39838,2,2,2
-2.43507,0.832944,2,2,2
2.26484,-0.358631,0,1,1
1.89671,0.722277,1,1,1
-1.64923,1.03863,2,2,2
1.64112,0.481034,0,1,1
0.228407,1.57515,0,1,1
-1.71749,1.92875,2,2,2
-1.14088,-0.897761,0,0,0
0.664448,-1.14866,0,0,0
1.47701,0.827453,1,1,1
-2.32118,1.32628,2,2,2
-1.82352,1.49987,2,2,2
2.36419,0.264565,1,1,1
-1.68656,1.51175,2,2,2
-0.815375,0.147452,0,0,0
2.27413,0.924025,1,1,1
-0.936392,-0.0184918,0,0,0
-2.26333,1.25333,2,2,2
-0.0588721,-0.423706,0,0,0
-1.16198,0.35807,2,2,2
-1.42925,1.31442,2,2,2
1.54712,1.06754,1,1,1
1.44471,-1.65291,0,0,0
-1.73071,1.18521,2,2,2
3.01232,0.301174,1,1,1
-2.08351,0.937417,2,2,2
-0.32209,-0.275153,0,0,0
3.38758,1.06443,1,1,1
-0.903064,0.183419,0,0,0
2.23624,1.19932,1,1,1
-2.05657,1.54344,2,2,2
-1.16724,0.725246,2,2,2
0.177781,-1.45291,0,0,0
-0.208363,2.12404,0,2,2
2.26294,0.0638443,1,1,1
-2.0244,1.00394,2,2,2
1.83793,1.46017,1,1,1
1.67767,0.28214,1,1,1
-2.53293,0.871604,2,2,2
-1.97462,0.451114,2,2,2
-2.44557,1.04259,2,2,2
-2.60597,1.19172,2,2,2
0.143048,0.0418997,0,0,0
1.88204,0.817454,1,1,1
0.0776511,-1.16538,0,0,0
-0.177126,0.450677,0,0,0
1.58857,0.482882,0,1,1
-2.1232,0.876944,2,2,2
-1.89851,1.46018,2,2,2
-1.81766,0.479725,2,2,2
2.03195,1.03085,1,1,1
3.08138,1.56977,1,1,1
2.67917,0.701121,1,1,1
-1.70657,0.400828,2,2,2
-1.61892,1.22063,2,2,2
1.44947,1.1894,1,1,1
2.77843,-1.75123,0,1,1
-2.89546,1.47292,2,2,2
1.81189,0.850922,1,1,1
-1.14702,-0.115854,0,0,0
-1.96848,0.855366,2,2,2
-2.58964,1.8637,2,2,2
-1.60388,1.48685,2,2,2
2.08991,1.35806,1,1,1
0.150062,0.330801,0,0,0
-1.40896,1.65413,2,2,2
1.30106,0.239467,1,1,1
-0.855148,-0.0994806,0,0,0
0.854071,-0.268769,0,0,0
-2.01096,1.69715,2,2,2
-1.21769,1.42629,2,2,2
-2.45023,0.193011,2,2,2
-1.86737,1.05225,2,2,2
2.53117,1.55962,1,1,1
0.771334,1.16448,1,1,1
2.00285,1.2516,1,1,1
-1.23778,0.415505,0,2,2
-1.1861,-0.00454271,0,2,2
0.593285,0.899816,0,1,1
-2.1853,1.14755,2,2,2
1.55999,0.597346,1,1,1
2.37364,0.986452,1,1,1
2.3245,1.10623,1,1,1
1.83065,-0.206912,1,1,1
-1.93689,1.41397,2,2,2
1.72082,1.4668,1,1,1
0.633243,-0.230009,0,0,0
-1.8039,1.57143,2,2,2
-3.7241,0.436885,0,2,2
2.71923,1.49021,1,1,1
2.09123,1.43753,1,1,1
-2.40481,1.12637,2,2,2
-0.144415,-0.126419,0,0,0
1.56809,1.42845,1,1,1
1.67738,1.33091,0,1,1
0.385733,-0.149219,0,0,0
0.185482,0.61442,0,0,0
-1.01103,1.35345,0,2,2
-1.21817,1.21104,2,2,2
1.79547,1.20414,1,1,1
-2.18409,0.775429,2,2,2
-1.1441,1.37822,2,2,2
2.58061,1.25086,1,1,1
-2.13967,0.53412,2,2,2
-2.56539,0.930928,2,2,2
-0.184593,0.167824,0,0,0
1.39044,-1.38035,0,0,0
-0.308508,1.85393,0,2,2
2.07878,1.40048,1,1,1
1.67927,0.971577,1,1,1
0.999095,0.80191,1,1,1
-2.23521,1.40022,2,2,2
0.703559,1.19282,1,1,1
-0.452043,1.20903,2,2,2
-2.46892,1.84088,2,2,2
-2.84083,1.02371,2,2,2
2.17621,1.86081,1,1,1
-0.598569,-1.61124,0,0,0
-1.75347,0.861151,2,2,2
1.95311,1.04368,1,1,1
1.20603,1.33066,1,1,1
-1.84553,1.69097,2,2,2
-1.53591,1.49538,2,2,2
0.440102,0.138402,0,0,0
-1.65454,1.19157,0,2,2
1.25205,0.221455,0,1,1
-0.756798,-0.765842,0,0,0
0.920389,1.94145,1,1,1
1.56792,-0.423564,0,1,1
1.86259,1.51933,1,1,1
2.16095,0.694949,1,1,1
-1.70733,1.25541,2,2,2
-1.93838,2.39622,2,2,2
1.57276,1.60491,1,1,1
0.226894,0.690372,0,0,0
-3.24298,0.438158,2,2,2
-2.56636,0.840813,2,2,2
-2.24903,0.810902,2,2,2
-1.35489,0.911343,0,2,2
0.611631,-0.453982,0,0,0
1.56553,0.573622,1,1,1
2.11963,1.68169,1,1,1
-2.33859,1.37865,2,2,2
2.12626,0.860371,1,1,1
-0.488449,2.99191,0,2,2
-1.22209,-0.400083,0,0,0
-1.99546,0.496594,2,2,2
2.88198,0.0814189,1,1,1
1.86111,1.11421,1,1,1
1.74919,0.569662,1,1,1
1.26054,-0.456767,0,0,0
-2.79553,1.79341,2,2,2
1.85633,1.32031,1,1,1
1.7204,-0.320658,0,1,1
2.259,0.999851,1,1,1
-0.593411,0.533918,0,0,0
0.597123,-1.71963,0,0,0
-1.90521,1.51794,2,2,2
1.19068,0.129456,1,1,1
2.62769,1.70169,1,1,1
1.85183,1.57422,1,1,1
2.95834,0.411258,1,1,1
2.03408,0.425483,1,1,1
-0.234671,-0.318452,0,0,0
0.706016,-0.993542,0,0,0
-2.47187,1.27879,2,2,2
-0.36631,-0.554871,0,0,0
1.71779,1.70218,1,1,1
1.83253,0.966722,1,1,1
0.121007,-0.703799,0,0,0
2.34826,2.30007,1,1,1
2.20542,1.1785,1,1,1
-1.59855,0.734427,0,2,2
1.70395,0.808206,1,1,1
-0.332471,0.61859,0,0,0
0.0129024,-1.68288,0,0,0
2.21925,2.1145,1,1,1
-1.78032,0.654702,2,2,2
-1.2916,1.32184,2,2,2
0.716602,1.86945,0,1,1
-1.34159,0.49957,0,2,2
-1.83079,1.15526,2,2,2
1.15948,1.38324,1,1,1
0.868699,-0.605848,0,0,0
1.6722,1.31078,1,1,1
2.10297,1.13236,1,1,1
-2.51338,1.16775,2,2,2
-1.64684,1.5922,0,2,2
-2.20757,0.344348,2,2,2
2.61877,0.876301,1,1,1
1.90607,0.986969,1,1,1
-1.40533,1.54461,2,2,2
0.0800799,-1.00669,0,0,0
0.231393,-1.69888,0,0,0
-0.286995,-0.155103,0,0,0
-0.144503,-1.68933,0,0,0
-1.97728,0.769266,2,2,2
-2.23975,0.497096,2,2,2
-1.36519,1.35289,2,2,2
1.59399,1.77058,1,1,1
-0.53085,-0.383385,0,0,0
1.19557,1.08562,1,1,1
-2.31259,1.25553,2,2,2
-1.87721,-0.241826,2,2,2
-0.40267,-0.43681,0,0,0
1.78998,0.544024,1,1,1
-2.44613,0.844894,2,2,2
2.22281,1.14532,1,1,1
-1.95343,1.34339,2,2,2
-0.0998581,-2.51432,0,0,0
2.31562,0.0746166,0,1,1
1.61284,0.563842,1,1,1
-2.19508,1.68001,2,2,2
1.47199,0.0748585,0,1,1
1.94412,2.21856,1,1,1
-0.863879,1.21559,2,2,2
-2.27958,0.795873,2,2,2
1.2365,1.0695,0,1,1
0.965483,0.467103,0,1,1
0.606031,-2.02577,0,0,0
2.26151,1.69293,1,1,1
-2.30528,1.29868,2,2,2
2.1297,1.23164,1,1,1
-2.00927,0.991831,2,2,2
1.71847,0.575146,1,1,1
-1.89746,1.01195,2,2,2
1.69083,-0.0548137,0,1,1
2.33533,0.952293,1,1,1
-2.68916,0.902229,2,2,2
1.25967,0.0404037,1,1,1
1.37887,0.648925,1,1,1
-2.52699,1.68635,2,2,2
-2.1328,0.921609,2,2,2
-1.37316,0.510807,2,2,2
-1.22831,1.1472,2,2,2
-2.04668,-0.534399,0,2,2
1.59553,1.18771,1,1,1
-0.728541,-0.943562,0,0,0
-0.970004,-1.23706,0,0,0
-0.272068,0.442304,0,0,0
-1.529,0.830759,2,2,2
-2.25772,0.0610439,2,2,2
-0.0582808,1.36236,0,0,0
2.1144,1.6563,1,1,1
2.71788,1.40033,1,1,1
1.30496,1.59147,1,1,1
0.259257,-2.45377,0,0,0
2.07155,1.12095,1,1,1
1.93815,0.876543,1,1,1
0.76457,-1.09764,0,0,0
1.5907,1.20328,1,1,1
-1.98873,1.7942,2,2,2
-2.03728,-1.36465,0,0,0
-2.09272,0.878867,2,2,2
1.11811,-0.715272,0,0,0
0.0200048,0.65185,0,0,0
-1.3277,0.885335,2,2,2
-0.494765,0.376445,0,0,0
-2.35598,0.173086,2,2,2
2.02008,0.954957,1,1,1
-1.5634,0.505475,2,2,2
-1.78226,0.866692,2,2,2
-2.00911,0.841898,2,2,2
-0.982976,0.166881,0,0,0
-1.06187,1.25381,2,2,2
0.266761,-1.49153,0,0,0
-1.64536,1.65141,2,2,2
1.93611,-0.378562,0,1,1
-2.0225,1.6411,2,2,2
1.87411,-0.0487692,1,1,1
-1.44454,-2.78025,0,0,0
1.79699,2.0362,1,1,1
-0.0611422,-0.445051,0,0,0
0.208361,-1.53197,0,0,0
-2.66079,1.06138,2,2,2
2.30225,0.383114,1,1,1
-1.78677,1.32941,2,2,2
-2.30876,1.21551,2,2,2
2.11169,0.293727,1,1,1
1.22756,0.500489,0,1,1
-1.789,1.02755,2,2,2
2.81108,0.4741,1,1,1
1.55159,0.440613,0,1,1
-1.70448,1.67751,2,2,2
-0.253253,0.0989213,0,0,0
2.19259,1.09168,1,1,1
-2.5817,0.807958,2,2,2
2.17808,0.968958,1,1,1
-2.28315,1.13246,2,2,2
0.0307635,0.676485,0,0,0
1.77077,1.75309,1,1,1
1.44639,0.848625,1,1,1
0.0222243,-0.404876,0,0,0
-1.85668,1.27392,2,2,2
-1.08416,-0.859877,0,0,0
1.00277,0.821666,0,1,1
0.0746844,2.27692,0,1,1
-2.66576,1.02235,2,2,2
-1.50372,0.0532538,2,2,2
-2.50516,1.25428,2,2,2
0.00494846,-1.61474,0,0,0
1.82198,1.95924,1,1,1
2.35405,1.79379,1,1,1
1.68589,0.631815,0,1,1
1.91765,0.876346,1,1,1
1.29284,0.66637,1,1,1
1.91204,1.18226,1,1,1
1.01126,1.29581,0,1,1
0.361095,0.268128,0,0,0
-0.384435,1.37789,0,2,2
-2.68111,0.703075,2,2,2
0.56606,-1.27044,0,0,0
-1.91262,0.192301,2,2,2
1.68062,1.0909,1,1,1
-2.52978,1.28174,2,2,2
1.30934,-0.916525,0,0,0
1.78518,1.01746,1,1,1
-1.22832,1.19157,2,2,2
-1.65636,1.80029,0,2,2
-1.46824,1.41302,2,2,2
-0.975119,0.209371,0,0,0
-1.25723,0.0932298,0,2,2
-0.895236,0.319551,0,0,0
1.82765,1.73199,1,1,1
1.31671,1.58645,1,1,1
-1.91345,1.37533,2,2,2
-0.726461,-2.11296,0,0,0
2.5502,1.10889,1,1,1
0.607746,1.41701,0,1,1
2.00583,-0.0215425,0,1,1
2.57722,0.931725,1,1,1
-1.85545,1.15055,2,2,2
-1.92442,0.590543,2,2,2
1.88531,0.279291,1,1,1
2.23577,1.52347,1,1,1
0.658479,0.863733,0,1,1
-2.16311,0.972181,2,2,2
1.6923,1.55054,1,1,1
-2.47136,1.5304,2,2,2
-2.04772,-0.0233721,2,2,2
-0.459489,-1.52842,0,0,0
-2.54911,1.44347,2,2,2
0.956602,-0.788141,0,0,0
-1.64389,0.625245,2,2,2
2.05894,0.46283,1,1,1
2.05608,1.91573,1,1,1
3.24564,1.22303,1,1,1
-2.64386,0.824346,2,2,2
-2.2745,0.0340764,2,2,2
0.642544,0.129731,0,0,0
2.59667,1.47343,1,1,1
1.58326,2.45375,1,1,1
0.107438,1.37389,0,0,0
1.86481,0.794109,1,1,1
-2.31425,-0.396883,2,2,2
-1.54411,1.07371,2,2,2
-1.92448,1.10803,2,2,2
2.50162,0.701946,1,1,1
0.968791,-0.00483144,0,0,0
-0.666324,0.901331,0,2,2
-2.66415,0.659449,2,2,2
0.541402,-0.887001,0,0,0
-2.88362,0.475436,2,2,2
1.07827,1.277,0,1,1
1.61766,1.19921,1,1,1
-1.03276,-0.716729,0,0,0
0.551732,0.767037,0,0,0
-0.980177,1.01735,0,2,2
0.170288,-0.218723,0,0,0
2.34131,0.662331,1,1,1
2.11046,1.25987,1,1,1
-1.29052,1.06425,2,2,2
0.690205,-0.104684,0,0,0
-1.34267,1.66341,2,2,2
2.65285,0.8778,1,1,1
2.5507,1.03023,1,1,1
-1.44668,-0.943134,0,0,0
1.64948,0.722211,1,1,1
-0.440439,1.42342,0,2,2
-1.34417,1.39909,2,2,2
1.80609,1.77796,1,1,1
-1.15813,-1.16035,0,0,0
-1.48499,0.93156,2,2,2
1.2821,0.835464,1,1,1
-2.30876,0.712623,2,2,2
2.27578,0.702901,1,1,1
-2.14755,0.77367,2,2,2
0.837109,0.377568,1,0,0
1.68068,0.34924,1,1,1
-1.9942,2.37594,2,2,2
0.746269,-0.153359,0,0,0
-2.29596,0.950866,2,2,2
0.621689,-0.922367,0,0,0
-1.60783,1.5637,2,2,2
1.11074,0.654036,1,1,1
1.74858,1.29719,1,1,1
-1.47181,0.950225,2,2,2
1.19201,0.915728,1,1,1
2.58451,1.1309,1,1,1
0.805771,-0.574221,0,0,0
2.0193,0.981014,1,1,1
1.3653,0.406076,1,1,1
-0.836982,1.77584,0,2,2
-1.85836,1.4486,2,2,2
2.22684,1.31219,1,1,1
-1.10673,1.08798,2,2,2
-2.05217,1.00135,2,2,2
-0.689928,0.853293,0,2,2
-0.96687,-0.185004,0,0,0
-1.93975,0.0759239,0,2,2
-2.44314,0.494182,2,2,2
-0.400663,0.460543,0,0,0
-0.82638,-1.08439,0,0,0
-1.2578,0.0935145,0,2,2
-2.36829,0.359659,2,2,2
-1.81411,1.33081,2,2,2
-1.98949,1.03662,2,2,2
-1.46313,0.0924892,2,2,2
2.2354,0.22559,1,1,1
1.36315,0.484876,1,1,1
-1.92053,0.75881,2,2,2
-2.18947,1.83331,2,2,2
-2.72222,0.87654,2,2,2
1.69923,1.38388,1,1,1
2.53703,1.659,1,1,1
-0.338868,-0.744723,0,0,0
0.299007,-1.11964,0,0,0
-0.462055,-0.142486,0,0,0
2.11781,-0.22295,0,1,1
0.303516,0.952361,0,0,0
-0.0238339,2.07273,0,2,2
-1.96485,2.26393,2,2,2
-0.287409,-0.0803072,0,0,0
1.10928,0.569071,1,1,1
-2.06806,1.44816,2,2,2
-2.16862,1.14189,2,2,2
-2.11032,0.784039,2,2,2
1.89647,0.79333,1,1,1
-1.32164,-1.31657,0,0,0
-2.34701,1.28212,2,2,2
-0.156428,-0.0990978,0,0,0
0.908758,1.48022,1,1,1
-0.196611,0.116874,0,0,0
1.98851,0.570458,0,1,1
-0.27365,0.179753,0,0,0
-1.30469,1.16756,0,2,2
1.61509,1.80148,1,1,1
0.971815,-0.968843,0,0,0
1.8263,1.44749,1,1,1
-1.74811,0.7004,2,2,2
1.92808,0.93073,1,1,1
-0.932059,-0.904928,0,0,0
1.47969,0.707094,1,1,1
0.846245,1.94829,0,1,1
-1.43094,1.26648,2,2,2
2.27655,0.971904,1,1,1
-0.484073,0.840186,0,0,0
0.0295065,-1.65476,0,0,0
0.53234,0.646631,0,0,0
-0.292947,1.1724,0,0,0
-1.65297,1.52326,2,2,2
-2.72448,1.18858,2,2,2
-2.15251,0.641183,2,2,2
-0.104854,1.82707,0,2,2
-0.923967,-0.167629,0,0,0
1.85178,1.25187,1,1,1
1.40011,0.914659,1,1,1
-1.3828,-0.0466773,0,2,2
-1.86112,1.6982,2,2,2
0.29701,-0.682731,0,0,0
-0.888534,0.889668,2,2,2
0.646067,-0.335204,0,0,0
-1.20292,0.0143073,0,2,2
-2.68561,0.759573,2,2,2
2.66842,0.903989,1,1,1
-2.31772,0.598944,2,2,2
-0.583495,0.3197,0,0,0
-1.67954,1.57181,2,2,2
1.91312,0.964771,1,1,1
1.62268,0.161415,1,1,1
-1.73565,0.934,2,2,2
2.1811,0.742229,1,1,1
-1.13391,-0.743888,0,0,0
2.22137,0.961064,1,1,1
-0.334989,1.08336,0,0,0
0.279096,0.898308,0,0,0
-2.76027,1.20789,2,2,2
-1.36658,0.527961,2,2,2
2.31617,1.0131,1,1,1
-2.20705,1.83202,2,2,2
1.83134,1.07678,1,1,1
2.51884,1.07422,1,1,1
1.11544,1.21007,1,1,1
2.25585,1.72202,1,1,1
-0.291702,-0.757499,0,0,0
-1.55167,1.54587,2,2,2
2.06118,1.3534,1,1,1
-1.39401,1.47012,2,2,2
1.25393,0.956465,1,1,1
-0.469063,0.933217,0,0,0
-2.20238,0.638882,2,2,2
0.143657,1.55641,0,1,1
-0.0341384,-0.0625063,0,0,0
0.914994,0.806887,0,1,1
-2.28058,0.128853,2,2,2
1.47993,0.744565,1,1,1
-2.27655,0.689532,2,2,2
1.85285,0.982023,1,1,1
-1.99374,0.140218,2,2,2
0.0617254,-0.221233,0,0,0
-0.978626,0.153235,0,0,0
0.574214,-0.142782,0,0,0
0.471896,-0.290526,0,0,0
-0.487353,2.05396,0,2,2
2.33992,1.39117,1,1,1
0.887229,-1.19342,0,0,0
-0.739924,0.264113,0,0,0
1.90069,0.765238,1,1,1
2.88132,1.11557,1,1,1
2.57948,0.725519,1,1,1
-2.29379,1.06314,2,2,2
0.474115,-1.27177,0,0,0
-3.19756,1.29486,2,2,2
2.56273,1.10377,1,1,1
-1.30447,1.36834,2,2,2
-2.51118,1.33719,2,2,2
-1.56423,1.27912,2,2,2
-2.39826,1.18085,2,2,2
1.98797,0.868021,1,1,1
-1.13402,-2.16231,0,0,0
-2.30927,0.592711,2,2,2
-2.77113,1.19096,2,2,2
-1.8287,1.18341,2,2,2
2.58792,-0.0392215,1,1,1
-1.99094,1.71603,2,2,2
-1.72726,0.350474,0,2,2
1.2409,1.90604,1,1,1
-1.82082,0.499834,2,2,2
1.72921,0.542867,1,1,1
2.63774,0.360295,1,1,1
-0.17482,-0.408901,0,0,0
-0.214087,0.634958,0,0,0
-1.31372,-1.23358,0,0,0
1.74006,1.13273,1,1,1
1.70801,0.684103,1,1,1
-0.0549562,0.506215,0,0,0
1.51248,0.329589,1,1,1
-2.14383,1.44923,2,2,2
-0.103376,-1.61186,0,0,0
2.22537,1.1241,1,1,1
-2.37653,0.855089,2,2,2
-2.01083,1.48698,2,2,2
-2.04436,0.495097,2,2,2
0.921682,1.61634,1,1,1
1.09052,-0.0481271,0,0,0
1.8307,1.07645,1,1,1
1.20127,1.61549,1,1,1
0.293747,0.675578,0,0,0
-1.34713,2.27866,2,2,2
3.57967,1.19822,1,1,1
0.605096,-0.467574,0,0,0
1.07902,1.48391,1,1,1
-2.30287,1.69149,2,2,2
1.61646,1.37267,1,1,1
1.52921,-0.738755,0,0,0
-2.40043,0.729436,2,2,2
0.00170046,-0.740041,0,0,0
-1.55013,0.183012,2,2,2
1.94223,1.06724,1,1,1
1.25657,1.90978,0,1,1
-0.625489,1.38027,0,2,2
0.0384041,-1.05376,0,0,0
-0.0562862,-0.405095,0,0,0
0.269768,-0.475998,0,0,0
-1.9543,1.00611,2,2,2
-1.58119,1.45503,2,2,2
1.74685,1.68913,1,1,1
-0.338185,0.0672035,0,0,0
-0.711634,0.00327834,0,0,0
-1.59265,2.18113,2,2,2
2.31883,1.27986,1,1,1
2.34637,0.809271,1,1,1
-2.30645,1.49289,2,2,2
-2.15109,1.12713,2,2,2
-0.329189,-0.126111,0,0,0
2.03058,0.939854,1,1,1
2.02816,0.499302,1,1,1
0.243127,0.764901,0,0,0
1.15135,0.222597,0,1,1
-2.22035,0.064167,2,2,2
-0.163109,-0.549043,0,0,0
-0.777813,2.35943,2,2,2
2.00284,1.54789,1,1,1
-1.12271,1.97043,0,2,2
